V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,rate,popSize,chroms,generationMean,generationSD
0.000340703,0.000407083,0.000382615,0.000379994,0.000435727,0.000396357,0.000372879,0.000427351,0.000418794,0.000386846,1e-10_1000000_1,87,1e-10,1000000,1,0.0003948349,2.84830490543645e-05
0.000336437,0.000393765,0.000374028,0.000379259,0.000433518,0.000393737,0.000367399,0.000414822,0.000405151,0.000380186,1e-10_1000000_1,88,1e-10,1000000,1,0.0003878302,2.70126503566179e-05
0.000327957,0.000391701,0.000368536,0.000372542,0.000422431,0.000389579,0.000362999,0.00041063,0.00039823,0.000368537,1e-10_1000000_1,89,1e-10,1000000,1,0.0003813142,2.70765832934003e-05
0.000318181,0.000393838,0.000364306,0.000371606,0.000423328,0.000384422,0.000366736,0.000400675,0.000388854,0.000356,1e-10_1000000_1,90,1e-10,1000000,1,0.0003767946,2.86390298764931e-05
0.000317085,0.000384759,0.000355571,0.000367336,0.00041597,0.000382086,0.000362581,0.000391129,0.000385279,0.000353187,1e-10_1000000_1,91,1e-10,1000000,1,0.0003714983,2.6848510246484e-05
0.000315937,0.000379827,0.000348687,0.000362806,0.000405237,0.000381819,0.000351294,0.000384109,0.000380734,0.000352085,1e-10_1000000_1,92,1e-10,1000000,1,0.0003662535,2.52795308248041e-05
0.000309016,0.00037325,0.000349636,0.000361812,0.000395949,0.000373652,0.000347534,0.000380205,0.000381315,0.000354133,1e-10_1000000_1,93,1e-10,1000000,1,0.0003626502,2.43732385018213e-05
0.000308688,0.000363873,0.000338379,0.000352874,0.00038658,0.000371337,0.000351092,0.000375078,0.000383516,0.00034605,1e-10_1000000_1,94,1e-10,1000000,1,0.0003577467,2.35813548147684e-05
0.000308193,0.000359369,0.000336732,0.000345589,0.000380181,0.000363836,0.000343718,0.000366358,0.000375184,0.000341726,1e-10_1000000_1,95,1e-10,1000000,1,0.0003520886,2.13425655346305e-05
0.000309082,0.000349668,0.000326919,0.000341481,0.00037536,0.000352442,0.000339494,0.000363486,0.000369719,0.000335068,1e-10_1000000_1,96,1e-10,1000000,1,0.0003462719,2.02590346235396e-05
0.0003049,0.000346668,0.000316706,0.000335749,0.000368073,0.000350423,0.000335891,0.000372235,0.000362899,0.000326835,1e-10_1000000_1,97,1e-10,1000000,1,0.0003420379,2.22261509810703e-05
0.000300299,0.000347935,0.00031207,0.00033018,0.000364106,0.000349898,0.000330916,0.00037242,0.000360186,0.000318264,1e-10_1000000_1,98,1e-10,1000000,1,0.0003386274,2.40124597435026e-05
0.000294559,0.000341298,0.000306521,0.00032563,0.000356574,0.000344069,0.000327563,0.000369683,0.000356551,0.000314514,1e-10_1000000_1,99,1e-10,1000000,1,0.0003336962,2.4145430148719e-05
0.000286329,0.000339307,0.000303917,0.000323267,0.000352664,0.000340626,0.000323991,0.000361598,0.00034855,0.000313187,1e-10_1000000_1,100,1e-10,1000000,1,0.0003293436,2.35773289986612e-05
0.000277802,0.000338779,0.000299401,0.000319647,0.000355938,0.000338076,0.000320499,0.000358262,0.000339068,0.000312924,1e-10_1000000_1,101,1e-10,1000000,1,0.0003260396,2.51421899479297e-05
0.000274889,0.00032829,0.000293631,0.000323017,0.000348301,0.00033291,0.000318756,0.000347383,0.000334247,0.00030932,1e-10_1000000_1,102,1e-10,1000000,1,0.0003210744,2.31723970188671e-05
0.000271751,0.000326476,0.000286474,0.000319264,0.000339163,0.000332908,0.000322299,0.000337649,0.000325724,0.000300603,1e-10_1000000_1,103,1e-10,1000000,1,0.0003162311,2.26372610654303e-05
0.000270239,0.000322549,0.000286833,0.000312864,0.00032774,0.000328941,0.000319078,0.000331992,0.000324383,0.000290759,1e-10_1000000_1,104,1e-10,1000000,1,0.0003115378,2.12819501445604e-05
0.000267213,0.000321865,0.000283318,0.000316365,0.00032622,0.000325619,0.000314933,0.000327129,0.00032551,0.000294613,1e-10_1000000_1,105,1e-10,1000000,1,0.0003102785,2.11483408345798e-05
0.000267122,0.000318128,0.000281099,0.000310544,0.000321764,0.000319383,0.000308013,0.000321433,0.000320888,0.000288914,1e-10_1000000_1,106,1e-10,1000000,1,0.0003057288,1.96694390520478e-05
0.0002651,0.000309605,0.000278746,0.000307546,0.000316733,0.000316578,0.000305622,0.000315039,0.000310866,0.000287371,1e-10_1000000_1,107,1e-10,1000000,1,0.0003013206,1.79247321021357e-05
0.000259514,0.000306483,0.000280056,0.000313947,0.000317393,0.000312798,0.000304666,0.000311598,0.000308894,0.000280434,1e-10_1000000_1,108,1e-10,1000000,1,0.0002995783,1.93108234650934e-05
0.000254727,0.000301497,0.000274773,0.000313991,0.000315236,0.000311995,0.00030491,0.000306479,0.000302661,0.000285676,1e-10_1000000_1,109,1e-10,1000000,1,0.0002971945,1.96063651923439e-05
0.000248053,0.000303539,0.000272636,0.000311482,0.000316823,0.000314506,0.000304972,0.000303961,0.000298549,0.000278317,1e-10_1000000_1,110,1e-10,1000000,1,0.0002952838,2.20487346212884e-05
0.000245219,0.0003051,0.000267172,0.000303935,0.000318357,0.000311314,0.000300252,0.000298554,0.000292222,0.000274056,1e-10_1000000_1,111,1e-10,1000000,1,0.0002916181,2.26526823991725e-05
0.000242338,0.000300768,0.000264834,0.000303963,0.000310375,0.000306076,0.000293153,0.000294126,0.000286076,0.000271617,1e-10_1000000_1,112,1e-10,1000000,1,0.0002873326,2.15989580931838e-05
0.000236279,0.000295768,0.000266473,0.000302673,0.000307994,0.000301884,0.000284923,0.000292467,0.000282451,0.000267633,1e-10_1000000_1,113,1e-10,1000000,1,0.0002838545,2.18830584407715e-05
0.000234888,0.000295444,0.00025835,0.000297866,0.00030381,0.000294634,0.000278171,0.000287679,0.000277014,0.000263317,1e-10_1000000_1,114,1e-10,1000000,1,0.0002791173,2.15621983163437e-05
0.000231254,0.000289966,0.000254001,0.000301507,0.000298895,0.00029339,0.000268823,0.000287023,0.000274484,0.00025538,1e-10_1000000_1,115,1e-10,1000000,1,0.0002754723,2.2988218451343e-05
0.000231015,0.000286246,0.000249843,0.00030376,0.000295966,0.000289701,0.000262102,0.000278991,0.000272242,0.000250845,1e-10_1000000_1,116,1e-10,1000000,1,0.0002720711,2.32484887654612e-05
0.000227547,0.000277072,0.000243541,0.000302296,0.000297406,0.000287571,0.000260474,0.00027416,0.000268785,0.000242347,1e-10_1000000_1,117,1e-10,1000000,1,0.0002681199,2.47073464488691e-05
0.000223953,0.000275597,0.000240392,0.000300754,0.00029438,0.000280457,0.000256931,0.000270912,0.000265909,0.000237857,1e-10_1000000_1,118,1e-10,1000000,1,0.0002647142,2.49888207573796e-05
0.00022616,0.000272289,0.000234328,0.000300099,0.000286033,0.000276633,0.000251922,0.0002597,0.00026251,0.000237124,1e-10_1000000_1,119,1e-10,1000000,1,0.0002606798,2.38230853576013e-05
0.00021985,0.00026867,0.000235089,0.000294487,0.000286144,0.000271916,0.000250198,0.000254827,0.000259257,0.000236301,1e-10_1000000_1,120,1e-10,1000000,1,0.0002576739,2.34604363246817e-05
0.000216967,0.000268007,0.000233551,0.000291626,0.000281952,0.000269873,0.000250099,0.000252459,0.000256558,0.000233168,1e-10_1000000_1,121,1e-10,1000000,1,0.000255426,2.32678995805141e-05
0.000212589,0.000264529,0.000229914,0.00028601,0.000278563,0.000263248,0.000246912,0.000253922,0.000257721,0.000230061,1e-10_1000000_1,122,1e-10,1000000,1,0.0002523469,2.29230905539468e-05
0.000212348,0.000266393,0.000228172,0.000280266,0.000273821,0.000265244,0.000241186,0.000244816,0.000254852,0.000230436,1e-10_1000000_1,123,1e-10,1000000,1,0.0002497534,2.20830749831429e-05
0.000207948,0.000259126,0.000226439,0.000274874,0.000275533,0.000258572,0.000237996,0.000237883,0.000253375,0.000229285,1e-10_1000000_1,124,1e-10,1000000,1,0.0002461031,2.1935424694873e-05
0.000203278,0.000252009,0.000222593,0.000270738,0.000274148,0.000254763,0.000239513,0.000232991,0.000248456,0.000230375,1e-10_1000000_1,125,1e-10,1000000,1,0.0002428864,2.17428825963808e-05
0.000200231,0.000247863,0.000216937,0.000268365,0.000274716,0.000254247,0.00023172,0.000231653,0.000247978,0.000229429,1e-10_1000000_1,126,1e-10,1000000,1,0.0002403139,2.28538666577696e-05
0.000197671,0.00024671,0.000214953,0.000264872,0.000275868,0.000248879,0.000231105,0.000229612,0.000246293,0.000231509,1e-10_1000000_1,127,1e-10,1000000,1,0.0002387472,2.29277183523447e-05
0.000196439,0.000242235,0.00021426,0.000263946,0.000273348,0.000246818,0.000225623,0.000224101,0.000244665,0.000229441,1e-10_1000000_1,128,1e-10,1000000,1,0.0002360876,2.29413527364403e-05
0.000192355,0.000241243,0.000210747,0.000262848,0.000268587,0.000241886,0.000224053,0.000225399,0.000241876,0.000224221,1e-10_1000000_1,129,1e-10,1000000,1,0.0002333215,2.29591481561393e-05
0.000190632,0.000238011,0.000206364,0.000256723,0.000264246,0.000236853,0.000221037,0.000223717,0.00024309,0.000224397,1e-10_1000000_1,130,1e-10,1000000,1,0.000230507,2.21773898173593e-05
0.000189513,0.000235905,0.000202683,0.000258102,0.000263377,0.000239685,0.00021973,0.000220379,0.000243015,0.000223334,1e-10_1000000_1,131,1e-10,1000000,1,0.0002295723,2.31609429142636e-05
0.0001873,0.000233851,0.000195546,0.000259228,0.000264105,0.00023728,0.000217847,0.000220059,0.00023705,0.000221099,1e-10_1000000_1,132,1e-10,1000000,1,0.0002273365,2.44951936203819e-05
0.000183998,0.000233363,0.000190449,0.000257681,0.000263099,0.000234853,0.000214053,0.000221233,0.000234113,0.000216988,1e-10_1000000_1,133,1e-10,1000000,1,0.000224983,2.54794070792692e-05
0.000183082,0.000229428,0.00018611,0.000251368,0.000257799,0.000234995,0.000213559,0.000222253,0.000231347,0.000214718,1e-10_1000000_1,134,1e-10,1000000,1,0.0002224659,2.44502525615222e-05
0.000182968,0.000225873,0.000179868,0.000246173,0.000249678,0.000235896,0.000211704,0.000216355,0.000229656,0.000216703,1e-10_1000000_1,135,1e-10,1000000,1,0.0002194874,2.36138415256815e-05
