V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,generationMean,generationSD
0.0310175,0.0309304,0.0310259,0.0310475,0.0304748,0.0320084,0.0320805,0.0310264,0.0317672,0.0313392,h0.1.spHuman,117,0.03127178,0.000520039429701676
0.0310195,0.0309313,0.0310328,0.0310126,0.0304666,0.0319989,0.0320735,0.031017,0.0317449,0.031341,h0.1.spHuman,118,0.03126381,0.000518174403180156
0.031005,0.0308955,0.0309763,0.0310095,0.030457,0.0320036,0.0320684,0.0309951,0.0317341,0.031331,h0.1.spHuman,119,0.03124755,0.000526077255099793
0.0310341,0.0309059,0.0309653,0.0310075,0.0304541,0.0319957,0.0320694,0.0310212,0.0317184,0.0313303,h0.1.spHuman,120,0.03125019,0.000521111562911436
0.0310014,0.0308967,0.0309544,0.0309727,0.0304461,0.0319753,0.0320715,0.0310063,0.0317234,0.031289,h0.1.spHuman,121,0.03123368,0.000524979351551617
0.0309947,0.0309006,0.0309304,0.0309566,0.0304521,0.0319487,0.0320838,0.0310082,0.0317186,0.0312709,h0.1.spHuman,122,0.03122646,0.000523713599000234
0.0309918,0.0308873,0.0309327,0.0309379,0.0304206,0.0319212,0.0320539,0.0309904,0.0316972,0.031262,h0.1.spHuman,123,0.0312095,0.000519839156748402
0.0309579,0.0308843,0.0309239,0.0309314,0.0304138,0.031921,0.0320452,0.0309927,0.0316759,0.0312547,h0.1.spHuman,124,0.03120008,0.000519766686547382
0.0309521,0.0308774,0.0309189,0.0309218,0.0304148,0.0319082,0.032019,0.0309877,0.0316352,0.0312294,h0.1.spHuman,125,0.03118645,0.000510368446974014
0.0309452,0.0308673,0.0309042,0.0308962,0.0304134,0.0318836,0.0320418,0.0309588,0.0316229,0.0312697,h0.1.spHuman,126,0.03118031,0.000515114135033306
0.0309225,0.0308557,0.0308696,0.03089,0.0304069,0.0318775,0.03204,0.0309666,0.0316101,0.031285,h0.1.spHuman,127,0.03117239,0.000518189820325418
0.0309136,0.0308657,0.0308434,0.0308506,0.0303919,0.0318614,0.0320291,0.0309634,0.0315859,0.0312726,h0.1.spHuman,128,0.03115776,0.00051781964942761
